nome,email,cpf,data_nascimento,curso_id
Ana Silva,pessoa0@example.com,10000000000,1980-01-01,1
Bruno Souza,pessoa1@example.com,10000000001,1981-02-02,2
Carlos Oliveira,pessoa2@example.com,10000000002,1982-03-03,3
Daniela Pereira,pessoa3@example.com,10000000003,1983-04-04,1
Fernanda Costa,pessoa4@example.com,10000000004,1984-05-05,2
Gabriel Almeida,pessoa5@example.com,10000000005,1985-06-06,3
Helena Gomes,pessoa6@example.com,10000000006,1986-07-07,1
Igor Ramos,pessoa7@example.com,10000000007,1987-08-08,2
Julia Melo,pessoa8@example.com,10000000008,1988-09-09,3
Marcos Fernandes,pessoa9@example.com,10000000009,1989-10-10,1
Ana Silva,pessoa10@example.com,10000000010,1990-11-11,2
Bruno Souza,pessoa11@example.com,10000000011,1991-12-12,3
Carlos Oliveira,pessoa12@example.com,10000000012,1992-01-13,1
Daniela Pereira,pessoa13@example.com,10000000013,1993-02-14,2
Fernanda Costa,pessoa14@example.com,10000000014,1994-03-15,3
Gabriel Almeida,pessoa15@example.com,10000000015,1995-04-16,1
Helena Gomes,pessoa16@example.com,10000000016,1996-05-17,2
Igor Ramos,pessoa17@example.com,10000000017,1997-06-18,3
Julia Melo,pessoa18@example.com,10000000018,1998-07-19,1
Marcos Fernandes,pessoa19@example.com,10000000019,1999-08-20,2
Ana Silva,pessoa20@example.com,10000000020,1980-09-21,3
Bruno Souza,pessoa21@example.com,10000000021,1981-10-22,1
Carlos Oliveira,pessoa22@example.com,10000000022,1982-11-23,2
Daniela Pereira,pessoa23@example.com,10000000023,1983-12-24,3
Fernanda Costa,pessoa24@example.com,10000000024,1984-01-25,1
Gabriel Almeida,pessoa25@example.com,10000000025,1985-02-26,2
Helena Gomes,pessoa26@example.com,10000000026,1986-03-27,3
Igor Ramos,pessoa27@example.com,10000000027,1987-04-28,1
Julia Melo,pessoa28@example.com,10000000028,1988-05-01,2
Marcos Fernandes,pessoa29@example.com,10000000029,1989-06-02,3
Ana Silva,pessoa30@example.com,10000000030,1990-07-03,1
Bruno Souza,pessoa31@example.com,10000000031,1991-08-04,2
Carlos Oliveira,pessoa32@example.com,10000000032,1992-09-05,3
Daniela Pereira,pessoa33@example.com,10000000033,1993-10-06,1
Fernanda Costa,pessoa34@example.com,10000000034,1994-11-07,2
Gabriel Almeida,pessoa35@example.com,10000000035,1995-12-08,3
Helena Gomes,pessoa36@example.com,10000000036,1996-01-09,1
Igor Ramos,pessoa37@example.com,10000000037,1997-02-10,2
Julia Melo,pessoa38@example.com,10000000038,1998-03-11,3
Marcos Fernandes,pessoa39@example.com,10000000039,1999-04-12,1
Ana Silva,pessoa40@example.com,10000000040,1980-05-13,2
Bruno Souza,pessoa41@example.com,10000000041,1981-06-14,3
Carlos Oliveira,pessoa42@example.com,10000000042,1982-07-15,1
Daniela Pereira,pessoa43@example.com,10000000043,1983-08-16,2
Fernanda Costa,pessoa44@example.com,10000000044,1984-09-17,3
Gabriel Almeida,pessoa45@example.com,10000000045,1985-10-18,1
Helena Gomes,pessoa46@example.com,10000000046,1986-11-19,2
Igor Ramos,pessoa47@example.com,10000000047,1987-12-20,3
Julia Melo,pessoa48@example.com,10000000048,1988-01-21,1
Marcos Fernandes,pessoa49@example.com,10000000049,1989-02-22,2
Ana Silva,pessoa50@example.com,10000000050,1990-03-23,3
Bruno Souza,pessoa51@example.com,10000000051,1991-04-24,1
Carlos Oliveira,pessoa52@example.com,10000000052,1992-05-25,2
Daniela Pereira,pessoa53@example.com,10000000053,1993-06-26,3
Fernanda Costa,pessoa54@example.com,10000000054,1994-07-27,1
Gabriel Almeida,pessoa55@example.com,10000000055,1995-08-28,2
Helena Gomes,pessoa56@example.com,10000000056,1996-09-01,3
Igor Ramos,pessoa57@example.com,10000000057,1997-10-02,1
Julia Melo,pessoa58@example.com,10000000058,1998-11-03,2
Marcos Fernandes,pessoa59@example.com,10000000059,1999-12-04,3
Ana Silva,pessoa60@example.com,10000000060,1980-01-05,1
Bruno Souza,pessoa61@example.com,10000000061,1981-02-06,2
Carlos Oliveira,pessoa62@example.com,10000000062,1982-03-07,3
Daniela Pereira,pessoa63@example.com,10000000063,1983-04-08,1
Fernanda Costa,pessoa64@example.com,10000000064,1984-05-09,2
Gabriel Almeida,pessoa65@example.com,10000000065,1985-06-10,3
Helena Gomes,pessoa66@example.com,10000000066,1986-07-11,1
Igor Ramos,pessoa67@example.com,10000000067,1987-08-12,2
Julia Melo,pessoa68@example.com,10000000068,1988-09-13,3
Marcos Fernandes,pessoa69@example.com,10000000069,1989-10-14,1
Ana Silva,pessoa70@example.com,10000000070,1990-11-15,2
Bruno Souza,pessoa71@example.com,10000000071,1991-12-16,3
Carlos Oliveira,pessoa72@example.com,10000000072,1992-01-17,1
Daniela Pereira,pessoa73@example.com,10000000073,1993-02-18,2
Fernanda Costa,pessoa74@example.com,10000000074,1994-03-19,3
Gabriel Almeida,pessoa75@example.com,10000000075,1995-04-20,1
Helena Gomes,pessoa76@example.com,10000000076,1996-05-21,2
Igor Ramos,pessoa77@example.com,10000000077,1997-06-22,3
Julia Melo,pessoa78@example.com,10000000078,1998-07-23,1
Marcos Fernandes,pessoa79@example.com,10000000079,1999-08-24,2
Ana Silva,pessoa80@example.com,10000000080,1980-09-25,3
Bruno Souza,pessoa81@example.com,10000000081,1981-10-26,1
Carlos Oliveira,pessoa82@example.com,10000000082,1982-11-27,2
Daniela Pereira,pessoa83@example.com,10000000083,1983-12-28,3
Fernanda Costa,pessoa84@example.com,10000000084,1984-01-01,1
Gabriel Almeida,pessoa85@example.com,10000000085,1985-02-02,2
Helena Gomes,pessoa86@example.com,10000000086,1986-03-03,3
Igor Ramos,pessoa87@example.com,10000000087,1987-04-04,1
Julia Melo,pessoa88@example.com,10000000088,1988-05-05,2
Marcos Fernandes,pessoa89@example.com,10000000089,1989-06-06,3
Ana Silva,pessoa90@example.com,10000000090,1990-07-07,1
Bruno Souza,pessoa91@example.com,10000000091,1991-08-08,2
Carlos Oliveira,pessoa92@example.com,10000000092,1992-09-09,3
Daniela Pereira,pessoa93@example.com,10000000093,1993-10-10,1
Fernanda Costa,pessoa94@example.com,10000000094,1994-11-11,2
Gabriel Almeida,pessoa95@example.com,10000000095,1995-12-12,3
Helena Gomes,pessoa96@example.com,10000000096,1996-01-13,1
Igor Ramos,pessoa97@example.com,10000000097,1997-02-14,2
Julia Melo,pessoa98@example.com,10000000098,1998-03-15,3
Marcos Fernandes,pessoa99@example.com,10000000099,1999-04-16,1
Ana Silva,pessoa100@example.com,10000000100,1980-05-17,2
Bruno Souza,pessoa101@example.com,10000000101,1981-06-18,3
Carlos Oliveira,pessoa102@example.com,10000000102,1982-07-19,1
Daniela Pereira,pessoa103@example.com,10000000103,1983-08-20,2
Fernanda Costa,pessoa104@example.com,10000000104,1984-09-21,3
Gabriel Almeida,pessoa105@example.com,10000000105,1985-10-22,1
Helena Gomes,pessoa106@example.com,10000000106,1986-11-23,2
Igor Ramos,pessoa107@example.com,10000000107,1987-12-24,3
Julia Melo,pessoa108@example.com,10000000108,1988-01-25,1
Marcos Fernandes,pessoa109@example.com,10000000109,1989-02-26,2
Ana Silva,pessoa110@example.com,10000000110,1990-03-27,3
Bruno Souza,pessoa111@example.com,10000000111,1991-04-28,1
Carlos Oliveira,pessoa112@example.com,10000000112,1992-05-01,2
Daniela Pereira,pessoa113@example.com,10000000113,1993-06-02,3
Fernanda Costa,pessoa114@example.com,10000000114,1994-07-03,1
Gabriel Almeida,pessoa115@example.com,10000000115,1995-08-04,2
Helena Gomes,pessoa116@example.com,10000000116,1996-09-05,3
Igor Ramos,pessoa117@example.com,10000000117,1997-10-06,1
Julia Melo,pessoa118@example.com,10000000118,1998-11-07,2
Marcos Fernandes,pessoa119@example.com,10000000119,1999-12-08,3
Ana Silva,pessoa120@example.com,10000000120,1980-01-09,1
Bruno Souza,pessoa121@example.com,10000000121,1981-02-10,2
Carlos Oliveira,pessoa122@example.com,10000000122,1982-03-11,3
Daniela Pereira,pessoa123@example.com,10000000123,1983-04-12,1
Fernanda Costa,pessoa124@example.com,10000000124,1984-05-13,2
Gabriel Almeida,pessoa125@example.com,10000000125,1985-06-14,3
Helena Gomes,pessoa126@example.com,10000000126,1986-07-15,1
Igor Ramos,pessoa127@example.com,10000000127,1987-08-16,2
Julia Melo,pessoa128@example.com,10000000128,1988-09-17,3
Marcos Fernandes,pessoa129@example.com,10000000129,1989-10-18,1
Ana Silva,pessoa130@example.com,10000000130,1990-11-19,2
Bruno Souza,pessoa131@example.com,10000000131,1991-12-20,3
Carlos Oliveira,pessoa132@example.com,10000000132,1992-01-21,1
Daniela Pereira,pessoa133@example.com,10000000133,1993-02-22,2
Fernanda Costa,pessoa134@example.com,10000000134,1994-03-23,3
Gabriel Almeida,pessoa135@example.com,10000000135,1995-04-24,1
Helena Gomes,pessoa136@example.com,10000000136,1996-05-25,2
Igor Ramos,pessoa137@example.com,10000000137,1997-06-26,3
Julia Melo,pessoa138@example.com,10000000138,1998-07-27,1
Marcos Fernandes,pessoa139@example.com,10000000139,1999-08-28,2
Ana Silva,pessoa140@example.com,10000000140,1980-09-01,3
Bruno Souza,pessoa141@example.com,10000000141,1981-10-02,1
Carlos Oliveira,pessoa142@example.com,10000000142,1982-11-03,2
Daniela Pereira,pessoa143@example.com,10000000143,1983-12-04,3
Fernanda Costa,pessoa144@example.com,10000000144,1984-01-05,1
Gabriel Almeida,pessoa145@example.com,10000000145,1985-02-06,2
Helena Gomes,pessoa146@example.com,10000000146,1986-03-07,3
Igor Ramos,pessoa147@example.com,10000000147,1987-04-08,1
Julia Melo,pessoa148@example.com,10000000148,1988-05-09,2
Marcos Fernandes,pessoa149@example.com,10000000149,1989-06-10,3
Ana Silva,pessoa150@example.com,10000000150,1990-07-11,1
Bruno Souza,pessoa151@example.com,10000000151,1991-08-12,2
Carlos Oliveira,pessoa152@example.com,10000000152,1992-09-13,3
Daniela Pereira,pessoa153@example.com,10000000153,1993-10-14,1
Fernanda Costa,pessoa154@example.com,10000000154,1994-11-15,2
Gabriel Almeida,pessoa155@example.com,10000000155,1995-12-16,3
Helena Gomes,pessoa156@example.com,10000000156,1996-01-17,1
Igor Ramos,pessoa157@example.com,10000000157,1997-02-18,2
Julia Melo,pessoa158@example.com,10000000158,1998-03-19,3
Marcos Fernandes,pessoa159@example.com,10000000159,1999-04-20,1
Ana Silva,pessoa160@example.com,10000000160,1980-05-21,2
Bruno Souza,pessoa161@example.com,10000000161,1981-06-22,3
Carlos Oliveira,pessoa162@example.com,10000000162,1982-07-23,1
Daniela Pereira,pessoa163@example.com,10000000163,1983-08-24,2
Fernanda Costa,pessoa164@example.com,10000000164,1984-09-25,3
Gabriel Almeida,pessoa165@example.com,10000000165,1985-10-26,1
Helena Gomes,pessoa166@example.com,10000000166,1986-11-27,2
Igor Ramos,pessoa167@example.com,10000000167,1987-12-28,3
Julia Melo,pessoa168@example.com,10000000168,1988-01-01,1
Marcos Fernandes,pessoa169@example.com,10000000169,1989-02-02,2
Ana Silva,pessoa170@example.com,10000000170,1990-03-03,3
